Rating,Location,Size,Type of ownership,Sector,Revenue,Years Founded,Min_Salary,Max_Salary,Seniority,HQ_Same,SQL,Excel,Python,Tableau,R,SAS
3.2,NY,201 to 500 employees,Nonprofit Organization,Non-Profit,$100 to $500 million (USD),59.0,37,66,Not specified,1,1,0,1,0,1,0
3.8,NY,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),127.0,37,66,Not specified,1,1,1,0,0,1,1
3.4,NY,1001 to 5000 employees,Company - Private,Information Technology,,17.0,37,66,Senior,1,1,1,0,1,0,0
4.1,NY,201 to 500 employees,Subsidiary or Business Segment,Information Technology,$50 to $100 million (USD),18.0,37,66,Not specified,0,1,0,0,1,0,0
3.9,NY,501 to 1000 employees,Company - Private,"Arts, Entertainment & Recreation",$100 to $500 million (USD),11.0,37,66,Not specified,1,1,1,1,0,0,0
3.9,NY,1001 to 5000 employees,Company - Private,Finance,,6.0,37,66,Not specified,0,1,1,1,0,0,0
4.4,NY,1001 to 5000 employees,Company - Private,Finance,,19.0,37,66,Not specified,1,1,1,1,0,0,0
3.7,NY,201 to 500 employees,Company - Private,Insurance,$100 to $500 million (USD),106.0,37,66,Not specified,1,1,0,1,0,1,0
4.0,NY,5001 to 10000 employees,Company - Public,Finance,$1 to $2 billion (USD),124.0,37,66,Not specified,0,1,1,1,0,1,0
4.4,NY,501 to 1000 employees,Company - Private,Business Services,,7.0,37,66,Not specified,1,1,0,1,0,1,0
4.0,NY,10000+ employees,Hospital,Health Care,$5 to $10 billion (USD),179.0,37,66,Not specified,1,0,0,0,0,1,1
,NJ,1 to 50 employees,Company - Private,,,,37,66,Not specified,0,1,1,1,1,1,0
3.7,NY,10000+ employees,Nonprofit Organization,Health Care,$2 to $5 billion (USD),136.0,37,66,Not specified,1,0,0,0,0,0,0
3.0,NY,201 to 500 employees,Company - Private,Business Services,$100 to $500 million (USD),16.0,37,66,Senior,1,1,1,1,0,0,0
3.4,NJ,1001 to 5000 employees,Company - Private,Finance,$1 to $5 million (USD),4.0,37,66,Not specified,0,1,1,0,0,0,0
3.6,NY,1 to 50 employees,Company - Private,Business Services,,,37,66,Not specified,1,1,1,1,0,1,0
3.8,NY,201 to 500 employees,Subsidiary or Business Segment,Business Services,,19.0,37,66,Not specified,1,1,0,0,1,0,0
3.8,NY,51 to 200 employees,Nonprofit Organization,Business Services,$25 to $50 million (USD),24.0,37,66,Not specified,1,1,0,1,0,0,0
3.9,NY,501 to 1000 employees,Nonprofit Organization,Business Services,$100 to $500 million (USD),62.0,37,66,Not specified,0,0,0,1,0,0,0
4.9,NY,51 to 200 employees,Company - Private,Information Technology,,14.0,37,66,Not specified,1,1,0,1,0,1,0
4.4,NY,10000+ employees,Company - Public,Information Technology,$10+ billion (USD),22.0,37,66,Not specified,0,1,0,0,0,1,1
,NY,,Company - Public,,,,37,66,Not specified,0,1,0,1,1,1,0
3.3,NY,10000+ employees,Company - Public,Finance,$5 to $10 billion (USD),51.0,37,66,Not specified,0,0,1,1,0,0,0
3.5,NY,201 to 500 employees,Company - Private,"Restaurants, Bars & Food Services",$1 to $5 million (USD),,37,66,Not specified,0,1,0,1,1,1,0
3.8,NY,1 to 50 employees,,,,,37,66,Junior,0,1,1,0,0,0,0
4.0,NY,1 to 50 employees,Company - Private,Business Services,Less than $1 million (USD),,37,66,Not specified,0,1,0,1,0,1,0
5.0,NY,201 to 500 employees,Company - Private,Information Technology,$10 to $25 million (USD),9.0,37,66,Not specified,0,1,0,1,1,1,0
4.8,NY,51 to 200 employees,Company - Private,Health Care,,3.0,37,66,Not specified,1,1,0,1,0,0,0
3.7,NY,1 to 50 employees,Company - Private,Business Services,$1 to $5 million (USD),,37,66,Junior,1,0,0,0,0,0,0
4.7,NY,1 to 50 employees,Company - Private,Business Services,,,37,66,Not specified,0,1,0,1,0,1,0
3.6,NY,51 to 200 employees,Company - Private,Business Services,$25 to $50 million (USD),15.0,46,87,Not specified,0,1,0,1,0,1,0
3.6,NJ,1 to 50 employees,Company - Private,Information Technology,$1 to $5 million (USD),,46,87,Not specified,0,0,0,0,0,0,0
3.5,NY,1 to 50 employees,Contract,,Less than $1 million (USD),,46,87,Not specified,0,0,0,0,0,0,0
3.2,NY,1001 to 5000 employees,Company - Private,Finance,,9.0,46,87,Not specified,0,1,1,1,1,1,0
3.7,NY,10000+ employees,Company - Public,Finance,$10+ billion (USD),116.0,46,87,Not specified,0,0,1,0,1,0,0
,NY,51 to 200 employees,Company - Public,,$1 to $5 million (USD),2.0,46,87,Not specified,1,1,1,1,0,0,0
3.6,NY,1 to 50 employees,Company - Private,Information Technology,Less than $1 million (USD),,46,87,Not specified,0,0,1,0,0,0,0
4.0,NY,10000+ employees,Hospital,Health Care,$5 to $10 billion (USD),179.0,46,87,Not specified,1,1,0,1,0,1,0
4.6,NY,51 to 200 employees,Nonprofit Organization,Non-Profit,$10 to $25 million (USD),,46,87,Not specified,0,1,0,1,1,1,0
,NY,1 to 50 employees,Company - Private,,,,46,87,Not specified,1,0,1,0,1,0,0
,NY,1001 to 5000 employees,Company - Public,,,,46,87,Not specified,0,1,0,1,0,1,0
5.0,NY,51 to 200 employees,Company - Private,,,4.0,46,87,Not specified,0,0,1,0,0,0,0
4.0,NY,1 to 50 employees,Company - Private,Business Services,$1 to $5 million (USD),,46,87,Not specified,0,0,0,0,0,0,0
3.0,NY,201 to 500 employees,Company - Private,Information Technology,,7.0,46,87,Not specified,1,1,1,1,0,1,0
2.9,NY,1001 to 5000 employees,Company - Private,Business Services,$500 million to $1 billion (USD),64.0,46,87,Not specified,0,1,1,0,0,0,0
4.0,NY,1 to 50 employees,Company - Private,Business Services,Less than $1 million (USD),,46,87,Not specified,0,1,0,0,1,1,0
3.6,NY,501 to 1000 employees,Company - Private,Business Services,$100 to $500 million (USD),13.0,46,87,Not specified,1,1,0,1,0,0,0
4.9,NY,1 to 50 employees,Company - Private,Finance,,30.0,46,87,Not specified,1,1,1,0,0,0,0
3.9,NY,1001 to 5000 employees,Company - Public,Information Technology,$500 million to $1 billion (USD),18.0,46,87,Senior,0,1,0,1,1,1,0
4.0,NY,10000+ employees,Company - Public,Media,$10+ billion (USD),97.0,46,87,Senior,0,1,0,0,1,0,0
3.8,NY,1001 to 5000 employees,Company - Private,,$50 to $100 million (USD),30.0,46,87,Not specified,0,1,0,1,1,0,0
3.7,NJ,1001 to 5000 employees,Company - Private,Information Technology,$100 to $500 million (USD),30.0,46,87,Not specified,0,1,1,0,1,0,0
3.6,NY,51 to 200 employees,Company - Private,Finance,,5.0,46,87,Senior,1,1,1,1,0,1,0
3.6,NJ,201 to 500 employees,Company - Public,Business Services,$50 to $100 million (USD),51.0,46,87,Not specified,0,0,0,1,1,0,0
4.0,NY,10000+ employees,Company - Public,Media,$10+ billion (USD),97.0,46,87,Senior,0,1,0,0,1,0,0
3.2,NY,1001 to 5000 employees,Company - Private,Accounting & Legal,$500 million to $1 billion (USD),69.0,46,87,Not specified,1,0,1,0,1,0,0
3.8,NY,10000+ employees,Company - Private,Information Technology,,39.0,46,87,Not specified,1,1,0,1,1,1,0
3.9,NY,51 to 200 employees,Company - Private,Real Estate,$25 to $50 million (USD),20.0,46,87,Not specified,1,1,1,1,1,1,1
4.8,NY,51 to 200 employees,Company - Private,Health Care,,3.0,51,88,Not specified,1,1,0,0,0,0,0
3.6,NY,1001 to 5000 employees,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,51,88,Not specified,0,1,0,0,0,0,0
3.6,NY,1001 to 5000 employees,Company - Public,Information Technology,$500 million to $1 billion (USD),22.0,51,88,Not specified,0,1,0,0,0,0,0
