Rating,Location,Type of ownership,Sector,Revenue,Years Founded,Min_Salary,Max_Salary,Seniority,HQ_Same,SQL,Excel,Python,Tableau,R,SAS
3.2,NY,Nonprofit Organization,Non-Profit,$100 to $500 million (USD),59.0,37,66,Not specified,1,1,0,1,0,1,0
3.8,NY,Nonprofit Organization,Health Care,$2 to $5 billion (USD),127.0,37,66,Not specified,1,1,1,0,0,1,1
3.4,NY,Company - Private,Information Technology,,17.0,37,66,Senior,1,1,1,0,1,0,0
4.1,NY,Subsidiary or Business Segment,Information Technology,$50 to $100 million (USD),18.0,37,66,Not specified,0,1,0,0,1,0,0
3.9,NY,Company - Private,"Arts, Entertainment & Recreation",$100 to $500 million (USD),11.0,37,66,Not specified,1,1,1,1,0,0,0
3.9,NY,Company - Private,Finance,,6.0,37,66,Not specified,0,1,1,1,0,0,0
4.4,NY,Company - Private,Finance,,19.0,37,66,Not specified,1,1,1,1,0,0,0
3.7,NY,Company - Private,Insurance,$100 to $500 million (USD),106.0,37,66,Not specified,1,1,0,1,0,1,0
4.0,NY,Company - Public,Finance,$1 to $2 billion (USD),124.0,37,66,Not specified,0,1,1,1,0,1,0
4.4,NY,Company - Private,Business Services,,7.0,37,66,Not specified,1,1,0,1,0,1,0
4.0,NY,Hospital,Health Care,$5 to $10 billion (USD),179.0,37,66,Not specified,1,0,0,0,0,1,1
,NJ,Company - Private,,,15.357142857142858,37,66,Not specified,0,1,1,1,1,1,0
3.7,NY,Nonprofit Organization,Health Care,$2 to $5 billion (USD),136.0,37,66,Not specified,1,0,0,0,0,0,0
3.0,NY,Company - Private,Business Services,$100 to $500 million (USD),16.0,37,66,Senior,1,1,1,1,0,0,0
3.4,NJ,Company - Private,Finance,$1 to $5 million (USD),4.0,37,66,Not specified,0,1,1,0,0,0,0
3.6,NY,Company - Private,Business Services,,15.357142857142858,37,66,Not specified,1,1,1,1,0,1,0
3.8,NY,Subsidiary or Business Segment,Business Services,,19.0,37,66,Not specified,1,1,0,0,1,0,0
3.8,NY,Nonprofit Organization,Business Services,$25 to $50 million (USD),24.0,37,66,Not specified,1,1,0,1,0,0,0
3.9,NY,Nonprofit Organization,Business Services,$100 to $500 million (USD),62.0,37,66,Not specified,0,0,0,1,0,0,0
4.9,NY,Company - Private,Information Technology,,14.0,37,66,Not specified,1,1,0,1,0,1,0
4.4,NY,Company - Public,Information Technology,$10+ billion (USD),22.0,37,66,Not specified,0,1,0,0,0,1,1
3.3,NY,Company - Public,Finance,$5 to $10 billion (USD),51.0,37,66,Not specified,0,0,1,1,0,0,0
3.5,NY,Company - Private,"Restaurants, Bars & Food Services",$1 to $5 million (USD),24.83732057416268,37,66,Not specified,0,1,0,1,1,1,0
3.8,NY,,,,15.357142857142858,37,66,Junior,0,1,1,0,0,0,0
4.0,NY,Company - Private,Business Services,Less than $1 million (USD),15.357142857142858,37,66,Not specified,0,1,0,1,0,1,0
5.0,NY,Company - Private,Information Technology,$10 to $25 million (USD),9.0,37,66,Not specified,0,1,0,1,1,1,0
4.8,NY,Company - Private,Health Care,,3.0,37,66,Not specified,1,1,0,1,0,0,0
3.7,NY,Company - Private,Business Services,$1 to $5 million (USD),15.357142857142858,37,66,Junior,1,0,0,0,0,0,0
4.7,NY,Company - Private,Business Services,,15.357142857142858,37,66,Not specified,0,1,0,1,0,1,0
3.6,NY,Company - Private,Business Services,$25 to $50 million (USD),15.0,46,87,Not specified,0,1,0,1,0,1,0
3.6,NJ,Company - Private,Information Technology,$1 to $5 million (USD),15.357142857142858,46,87,Not specified,0,0,0,0,0,0,0
3.5,NY,Contract,,Less than $1 million (USD),15.357142857142858,46,87,Not specified,0,0,0,0,0,0,0
3.2,NY,Company - Private,Finance,,9.0,46,87,Not specified,0,1,1,1,1,1,0
3.7,NY,Company - Public,Finance,$10+ billion (USD),116.0,46,87,Not specified,0,0,1,0,1,0,0
,NY,Company - Public,,$1 to $5 million (USD),2.0,46,87,Not specified,1,1,1,1,0,0,0
3.6,NY,Company - Private,Information Technology,Less than $1 million (USD),15.357142857142858,46,87,Not specified,0,0,1,0,0,0,0
4.0,NY,Hospital,Health Care,$5 to $10 billion (USD),179.0,46,87,Not specified,1,1,0,1,0,1,0
4.6,NY,Nonprofit Organization,Non-Profit,$10 to $25 million (USD),16.078688524590163,46,87,Not specified,0,1,0,1,1,1,0
,NY,Company - Private,,,15.357142857142858,46,87,Not specified,1,0,1,0,1,0,0
,NY,Company - Public,,,36.65408805031446,46,87,Not specified,0,1,0,1,0,1,0
5.0,NY,Company - Private,,,4.0,46,87,Not specified,0,0,1,0,0,0,0
4.0,NY,Company - Private,Business Services,$1 to $5 million (USD),15.357142857142858,46,87,Not specified,0,0,0,0,0,0,0
3.0,NY,Company - Private,Information Technology,,7.0,46,87,Not specified,1,1,1,1,0,1,0
2.9,NY,Company - Private,Business Services,$500 million to $1 billion (USD),64.0,46,87,Not specified,0,1,1,0,0,0,0
4.0,NY,Company - Private,Business Services,Less than $1 million (USD),15.357142857142858,46,87,Not specified,0,1,0,0,1,1,0
3.6,NY,Company - Private,Business Services,$100 to $500 million (USD),13.0,46,87,Not specified,1,1,0,1,0,0,0
4.9,NY,Company - Private,Finance,,30.0,46,87,Not specified,1,1,1,0,0,0,0
3.9,NY,Company - Public,Information Technology,$500 million to $1 billion (USD),18.0,46,87,Senior,0,1,0,1,1,1,0
4.0,NY,Company - Public,Media,$10+ billion (USD),97.0,46,87,Senior,0,1,0,0,1,0,0
